"ins","type_entite","entite","periode","valeur"
"61041","Commune","Modave","31/12/2018","0.0"
"61043","Commune","Nandrin","31/12/2018","0.0"
"61048","Commune","Ouffet","31/12/2018","7.5"
"61063","Commune","Verlaine","31/12/2018","0.0"
"61068","Commune","Villers-le-Bouillet","31/12/2018","0.7"
"61072","Commune","Wanze","31/12/2018","0.0"
"61079","Commune","Anthisnes","31/12/2018","0.0"
"61080","Commune","Engis","31/12/2018","0.0"
"61081","Commune","Tinlot","31/12/2018","0.0"
"62000","Arrondissement","Liège","31/12/2018","15.7"
"62003","Commune","Ans","31/12/2018","6.5"
"62006","Commune","Awans","31/12/2018","5.1"
"62009","Commune","Aywaille","31/12/2018","27.3"
"62011","Commune","Bassenge","31/12/2018","0.0"
"62015","Commune","Beyne-Heusay","31/12/2018","0.0"
"62022","Commune","Chaudfontaine","31/12/2018","0.0"
"62026","Commune","Comblain-au-Pont","31/12/2018","0.0"
"62027","Commune","Dalhem","31/12/2018","0.0"
"62032","Commune","Esneux","31/12/2018","0.0"
"62038","Commune","Fléron","31/12/2018","0.0"
"62051","Commune","Herstal","31/12/2018","32.2"
"62060","Commune","Juprelle","31/12/2018","32.9"
"62063","Commune","Liège","31/12/2018","9.3"
"62079","Commune","Oupeye","31/12/2018","0.0"
"62093","Commune","Saint-Nicolas","31/12/2018","0.0"
"62096","Commune","Seraing","31/12/2018","28.4"
"62099","Commune","Soumagne","31/12/2018","0.7"
"62100","Commune","Sprimont","31/12/2018","0.2"
"62108","Commune","Visé","31/12/2018","0.0"
"62118","Commune","Grâce-Hollogne","31/12/2018","8.1"
"62119","Commune","Blegny","31/12/2018","0.0"
"62120","Commune","Flémalle","31/12/2018","4.5"
"62121","Commune","Neupré","31/12/2018","0.0"
"62122","Commune","Trooz","31/12/2018","0.0"
"63000","Arrondissement","Verviers","31/12/2018","2.5"
"63001","Commune","Amblève","31/12/2018","0.0"
"63003","Commune","Aubel","31/12/2018","0.0"
"63004","Commune","Baelen","31/12/2018","0.0"
"63012","Commune","Bullange","31/12/2018","0.0"
"63013","Commune","Butgenbach","31/12/2018","0.0"
"63020","Commune","Dison","31/12/2018","0.0"
"63023","Commune","Eupen","31/12/2018","2.1"
